#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        89   -1.7274677577e+01    2.9866484486e+02   -2.9725217121e+01    1.2450539544e+01   -5.5254823471e+01    1.9760443872e+00    1.6572798716e+01    6.9807632464e+00    1.2183180819e+03    6.1249416000e-02    9.9835796388e-01
        90   -1.7259779520e+01    2.9807233662e+02   -2.9848494768e+01    1.2588715248e+01   -5.4708712077e+01    1.2842127974e+00    1.6595241265e+01    6.9807632464e+00    1.2103079297e+03    6.0552792000e-02    9.9690082645e-01
        91   -1.7222634537e+01    2.9685999262e+02   -2.9425874328e+01    1.2203239792e+01   -5.5128188136e+01    1.9171401582e+00    1.6804410403e+01    6.9807632464e+00    1.2219865301e+03    6.1373292000e-02    9.9764729951e-01
        92   -1.7203504951e+01    2.9613732934e+02   -2.9878698612e+01    1.2675193660e+01   -5.5014794288e+01    1.5555383149e+00    1.6599794115e+01    6.9807632464e+00    1.2248782316e+03    5.9815250000e-02    9.9785714286e-01
        93   -1.7225115204e+01    2.9695508832e+02   -2.9628449460e+01    1.2403334256e+01   -5.4387295735e+01    1.1906065062e+00    1.6587476522e+01    6.9807632464e+00    1.2339506089e+03    6.1098041000e-02    9.9817666126e-01
        94   -1.7256449326e+01    2.9802084065e+02   -2.9991113842e+01    1.2734664516e+01   -5.4951692161e+01    1.2270745460e+00    1.6752740526e+01    6.9807632464e+00    1.2590596813e+03    6.3223125000e-02    9.9791501191e-01
        95   -1.7267575202e+01    2.9831336982e+02   -3.0234573415e+01    1.2966998213e+01   -5.5295705280e+01    1.3672132831e+00    1.6713155336e+01    6.9807632464e+00    1.2570970481e+03    6.3073750000e-02    9.9781225139e-01
        96   -1.7276324904e+01    2.9863291248e+02   -3.0335312674e+01    1.3058987770e+01   -5.6005704575e+01    1.6967437197e+00    1.6992884935e+01    6.9807632464e+00    1.2581535041e+03    6.4785875000e-02    9.9711844197e-01
        97   -1.7282789356e+01    2.9887527450e+02   -3.0892146294e+01    1.3609356938e+01   -5.6486027088e+01    1.6090289186e+00    1.7004088629e+01    6.9807632464e+00    1.2572330902e+03    6.3526333000e-02    9.9771280827e-01
        98   -1.7252543791e+01    2.9782353171e+02   -3.0258028508e+01    1.3005484717e+01   -5.6300342225e+01    2.0718494838e+00    1.6989700986e+01    6.9807632464e+00    1.2649882405e+03    6.4589334000e-02    9.9673913043e-01
        99   -1.7266395008e+01    2.9840631305e+02   -2.9980624027e+01    1.2714229019e+01   -5.6207429308e+01    2.2098786627e+00    1.7036163372e+01    6.9807632464e+00    1.2630622527e+03    6.4341291000e-02    9.9772367379e-01
       100   -1.7253415073e+01    2.9790255680e+02   -2.9709517975e+01    1.2456102902e+01   -5.5766109479e+01    2.1962628644e+00    1.6879565393e+01    6.9807632464e+00    1.2500635628e+03    6.9148542000e-02    9.9730000000e-01
       101   -1.7286656757e+01    2.9921513146e+02   -3.0211924202e+01    1.2925267445e+01   -5.6417065926e+01    2.2349973607e+00    1.6989381117e+01    6.9807632464e+00    1.2462699943e+03    6.2063916000e-02    9.9689004815e-01
       102   -1.7271970379e+01    2.9862929842e+02   -3.0783315605e+01    1.3511345227e+01   -5.7137264490e+01    2.1177155729e+00    1.7255470066e+01    6.9807632464e+00    1.2322561169e+03    6.2598583000e-02    9.9786931818e-01
       103   -1.7236929370e+01    2.9732801096e+02   -3.0912308276e+01    1.3675378906e+01   -5.7631018424e+01    2.5536201868e+00    1.7184326715e+01    6.9807632464e+00    1.2330446019e+03    6.1290001000e-02    9.9726277372e-01
       104   -1.7267418912e+01    2.9837998089e+02   -3.0485999410e+01    1.3218580498e+01   -5.6957040903e+01    2.4625305506e+00    1.7027747696e+01    6.9807632464e+00    1.2561084263e+03    6.2283500000e-02    9.9661624204e-01
       105   -1.7278438278e+01    2.9886874920e+02   -3.1345581003e+01    1.4067142725e+01   -5.7078906839e+01    1.7093420249e+00    1.7043220565e+01    6.9807632464e+00    1.2731195603e+03    6.6175041000e-02    9.9715239592e-01
       106   -1.7215693554e+01    2.9661735755e+02   -3.0574402242e+01    1.3358708688e+01   -5.6744719642e+01    2.0373848872e+00    1.7152169267e+01    6.9807632464e+00    1.2797055492e+03    6.3907708000e-02    9.9667968750e-01
       107   -1.7202396839e+01    2.9614386046e+02   -3.0195289402e+01    1.2992892563e+01   -5.6890521796e+01    2.5399107310e+00    1.7174558417e+01    6.9807632464e+00    1.2746091361e+03    6.4100625000e-02    9.9686274510e-01
       108   -1.7224257173e+01    2.9690992701e+02   -3.0243559897e+01    1.3019302724e+01   -5.6805174762e+01    2.3821667808e+00    1.7198684838e+01    6.9807632464e+00    1.2737756976e+03    6.4739875000e-02    9.9764521193e-01
       109   -1.7292182132e+01    2.9932627859e+02   -3.0140287935e+01    1.2848105803e+01   -5.6196239223e+01    2.1989084585e+00    1.6876279583e+01    6.9807632464e+00    1.2791291602e+03    6.2641000000e-02    9.9863174355e-01
       110   -1.7278505790e+01    2.9880465597e+02   -3.0293978659e+01    1.3015472869e+01   -5.5785729715e+01    1.9622755975e+00    1.6548712212e+01    6.9807632464e+00    1.2840861188e+03    6.2502583000e-02    9.9717679128e-01
       111   -1.7253841605e+01    2.9783768438e+02   -3.0434684822e+01    1.3180843217e+01   -5.5988055831e+01    2.0426858139e+00    1.6529921949e+01    6.9807632464e+00    1.2839035273e+03    6.2677625000e-02    9.9698208723e-01
       112   -1.7258106520e+01    2.9805437891e+02   -3.0432733239e+01    1.3174626719e+01   -5.6099126951e+01    2.0391398807e+00    1.6646490585e+01    6.9807632464e+00    1.2938732169e+03    6.4353792000e-02    9.9758500773e-01
       113   -1.7232319587e+01    2.9715057105e+02   -2.9679599869e+01    1.2447280282e+01   -5.5735873456e+01    2.2199963489e+00    1.6855513991e+01    6.9807632464e+00    1.2817683540e+03    6.3744208000e-02    9.9736739470e-01
       114   -1.7236154321e+01    2.9734480918e+02   -2.9677137807e+01    1.2440983486e+01   -5.5476071049e+01    1.9357898259e+00    1.6882380170e+01    6.9807632464e+00    1.2838067034e+03    6.7567292000e-02    9.9766355140e-01
       115   -1.7245840072e+01    2.9762701789e+02   -2.9794667924e+01    1.2548827852e+01   -5.5673898983e+01    2.0872925397e+00    1.6811175272e+01    6.9807632464e+00    1.2868325063e+03    6.5372292000e-02    9.9708624709e-01
       116   -1.7194339022e+01    2.9582122494e+02   -3.0160094509e+01    1.2965755487e+01   -5.6399684619e+01    2.3440339319e+00    1.6914792931e+01    6.9807632464e+00    1.2716088667e+03    6.4048792000e-02    9.9773977987e-01
       117   -1.7288735159e+01    2.9915606340e+02   -3.0830472343e+01    1.3541737184e+01   -5.6961673760e+01    2.2114360265e+00    1.6939002144e+01    6.9807632464e+00    1.2771396049e+03    6.5637333000e-02    9.9745497259e-01
